rank,name,net__worth,age,source,country,industry,sex,citizenship,marital _status,education,college/_university,empire,source_1,source_2,source_3
724,Hubert Burda,4.0,83.0,Publishing,Germany,Media & Entertainment,Male,Germany,Married,Bachelor of Arts/Science,Ludwig Maxmilian University,no data,Publishing,,
725,Giuseppe De'Longhi,4.0,84.0,Coffee makers,Italy,Fashion & Retail,Male,Italy,Divorced,Bachelor of Arts/Economics,UniversitÃ  CÃ  Foscari di Venezia,no data,Coffee makers,,
726,Nusli Wadia,4.0,79.0,Consumer goods,India,Food & Beverage,Male,India,Married,no data,no data,no data,Consumer goods,,
727,Sid Bass,4.0,81.0,"Oil, investments",United States,Energy,Male,United States,Divorced,Master of Business Administration,Stanford University,no data,Oil, investments,
728,Samvel Karapetyan,4.0,57.0,Real estate,Russia,Construction & Engineering,Male,Russia,Married,Bachelor of Arts/Science,Yerevan Polytechnic Institute,Self Made,Real estate,,
729,Barry Diller,4.0,81.0,Online media,United States,Media & Entertainment,Male,United States,Married,Drop Out,University of California,Self Made,Online media,,
730,Torbjorn Tornqvist,4.0,69.0,Oil trading,Sweden,Energy,Male,Sweden,no data,Graduate,Stockholm University,Self Made,Oil trading,,
731,Jiang Bin,4.0,56.0,Acoustic components,China,Technology,Male,China,Married,Bachelor of Arts/Science,Beijing University of Aeronautics and Astronautics,Self Made,Acoustic components,,
732,John Henry,4.0,73.0,Sports,United States,Sports,Male,United States,Married,no data,no data,Self Made,Sports,,
733,Tsai Hong-tu,4.0,71.0,Finance,Taiwan,Finance & Investments,Male,Taiwan,Married,Law Degree,National Taiwan University,no data,Finance,,
734,Zarakh Iliev,4.0,56.0,Real estate,Russia,Real Estate,Male,Russia,Married,no data,no data,Self Made,Real estate,,
734,God Nisanov,4.0,51.0,Real estate,Russia,Real Estate,Male,Russia,Married,Diploma,Baku Institute of Law,Self Made,Real estate,,
736,Julia Oetker,3.9,44.0,Consumer goods,Germany,Fashion & Retail,Female,Germany,no data,no data,no data,no data,Consumer goods,,
736,Carl Ferdinand Oetker,3.9,50.0,Consumer goods,Germany,Fashion & Retail,Male,Germany,no data,no data,no data,no data,Consumer goods,,
736,Alfred Oetker,3.9,56.0,Consumer goods,Germany,Fashion & Retail,Male,Germany,Married,no data,no data,no data,Consumer goods,,
739,Juergen Blickle,3.9,76.0,Auto parts,Germany,Manufacturing,Male,Germany,Married,no data,no data,no data,Auto parts,,
740,Antti Herlin,3.9,66.0,"Elevators, escalators",Finland,Manufacturing,Male,Finland,Married,no data,no data,no data,Elevators, escalators,
741,Masahiro Noda,3.9,84.0,software,Japan,Technology,Male,Japan,Married,Bachelor of Arts/Economics,Kansai University,Self Made,software,,
742,Claudio Del Vecchio,3.9,66.0,Eyeglasses,Italy,Fashion & Retail,Male,Italy,Married,no data,no data,no data,Eyeglasses,,
743,Rocco Basilico,3.9,34.0,Eyeglasses,Italy,Fashion & Retail,Male,Italy,no data,Bachelor of Arts/Economics,Catholic University of the Sacred Heart,no data,Eyeglasses,,
744,Paola Del Vecchio,3.9,62.0,Eyeglasses,Italy,Fashion & Retail,Female,Italy,Married,no data,no data,no data,Eyeglasses,,
744,Clemente Del Vecchio,3.9,19.0,Eyeglasses,Italy,Fashion & Retail,Male,Italy,no data,no data,no data,no data,Eyeglasses,,
744,Leonardo Maria Del Vecchio,3.9,28.0,Eyeglasses,Italy,Fashion & Retail,Male,Italy,no data,Bachelor of Business Administration,Bocconi Univerisity,no data,Eyeglasses,,
744,Luca Del Vecchio,3.9,21.0,Eyeglasses,Italy,Fashion & Retail,Male,Italy,no data,no data,no data,no data,Eyeglasses,,
744,Marisa Del Vecchio,3.9,65.0,Eyeglasses,Italy,Fashion & Retail,Female,Italy,no data,no data,no data,no data,Eyeglasses,,
744,Nicoletta Zampillo,3.9,65.0,Eyeglasses,Italy,Fashion & Retail,Female,Italy,Widowed,no data,no data,no data,Eyeglasses,,
750,James Irsay,3.9,64.0,Indianapolis Colts,United States,Sports,Male,United States,Divorced,Bachelor of Arts/Science,Southern Methodist University,no data,Indianapolis Colts,,
751,Koon Poh Keong,3.9,62.0,Aluminum,Malaysia,Manufacturing,Male,Malaysia,Married,Bachelor of Engineering,University of Oklahoma,Self Made,Aluminum,,
752,Somurai Jaruphnit,3.9,66.0,Diversified,Thailand,Diversified,Female,Thailand,no data,no data,no data,no data,Diversified,,
753,Shigenobu Nagamori,3.9,78.0,motors,Japan,Manufacturing,Male,Japan,Married,no data,no data,Self Made,motors,,
754,Andrej Babis,3.9,68.0,Agriculture,Czech Republic,Food & Beverage,Male,Czech Republic,Married,Master,University of Economics in Bratislava (UEB),Self Made,Agriculture,,
755,Isaac Perlmutter,3.9,80.0,Marvel comics,United States,Media & Entertainment,Male,United States,Married,High School Graduate,High School,Self Made,Marvel comics,,
756,Qian Dongqi,3.9,65.0,Home-cleaning robots,China,Manufacturing,Male,China,Married,Master of Philosophy,Nanjing University,Self Made,Home-cleaning robots,,
757,Cho Jung-ho,3.9,64.0,Finance,South Korea,Finance & Investments,Male,South Korea,Married,Master of Business Administration,IMD,no data,Finance,,
758,Tsai Cheng-ta,3.9,73.0,Finance,Taiwan,Finance & Investments,Male,Taiwan,Married,no data,Chinese Culture University,no data,Finance,,
759,Horst Paulmann,3.9,88.0,Retail,Chile,Fashion & Retail,Male,Chile,Married,no data,no data,Self Made,Retail,,
760,Gabe Newell,3.9,60.0,Videogames,United States,Gambling & Casinos,Male,United States,Divorced,Drop Out,Harvard University,Self Made,Videogames,,
761,Fu Liquan,3.9,56.0,Surveillance equipment,China,Technology,Male,China,Married,Bachelor of Arts/Science,Zhejiang Shuren University,Self Made,Surveillance equipment,,
762,Trevor Rees-Jones,3.9,72.0,Oil & gas,United States,Energy,Male,United States,Married,Bachelor of Arts/Science,Dartmouth College,Self Made,Oil & gas,,
763,H. Ross Perot Jr,3.8,64.0,Real estate,United States,Real Estate,Male,United States,Married,Bachelor of Arts/Science,Vanderbilt University,no data,Real estate,,
764,Jeff Rothschild,3.8,68.0,Facebook,United States,Technology,Male,United States,Married,Bachelor of Arts/Science,Vanderbilt University,Self Made,Facebook,,
765,Steven Udvar-Hazy,3.8,77.0,Aircraft leasing,United States,Service,Male,United States,Married,Bachelor of Arts/Science,University of California,Self Made,Aircraft leasing,,
766,Brad Jacobs,3.8,67.0,Logistics,United States,Logistics,Male,United States,Married,Drop Out,Brown University,Self Made,Logistics,,
767,Stephen Feinberg,3.8,63.0,Private equity,United States,Finance & Investments,Male,United States,Married,Bachelor of Arts/Science,Princeton University,Self Made,Private equity,,
768,Donald Horton,3.8,73.0,Homebuilding,United States,Real Estate,Male,United States,Married,Bachelor of Arts/Science,University of Central Arkansas,Self Made,Homebuilding,,
769,Thomas Siebel,3.8,70.0,Business software,United States,Technology,Male,United States,Married,Bachelor of Arts/Science,Urbana-Champaign,Self Made,Business software,,
770,Lawrence Stroll,3.8,64.0,Fashion investments,Canada,Fashion & Retail,Male,Canada,Married,no data,no data,Self Made,Fashion investments,,
771,Ruan Hongliang,3.8,62.0,Glass,China,Manufacturing,Male,China,Married,no data,no data,Self Made,Glass,,
772,William Berkley,3.8,76.0,Insurance,United States,Finance & Investments,Male,United States,Married,Master of Business Administration,Harvard University,Self Made,Insurance,,
773,Juan Roig,3.8,73.0,Supermarkets,Spain,Fashion & Retail,Male,Spain,Married,no data,no data,no data,Supermarkets,,
774,Gao Jifan,3.8,58.0,Solar equipment,China,Energy,Male,China,Married,Master of Science,Jilin University,Self Made,Solar equipment,,
775,Roger Penske,3.8,86.0,Cars,United States,Automotive,Male,United States,Married,Drop Out,Lehigh University,Self Made,Cars,,
776,Ali Erdemoglu,3.8,63.0,Carpet,Turkey,Manufacturing,Male,Turkey,Married,no data,no data,Self Made,Carpet,,
777,Pansy Ho,3.7,60.0,Casinos,Hong Kong,Gambling & Casinos,Female,Hong Kong,Divorced,Bachelor of Arts/Science,University of Santa Clara,no data,Casinos,,
778,Anthony Pritzker,3.7,62.0,"Hotels, investments",United States,Service,Male,United States,Married,Bachelor of Arts/Science,Dartmouth College,no data,Hotels, investments,
779,Zhu Baoguo,3.7,61.0,Pharmaceuticals,China,Healthcare,Male,China,Married,Bachelor of Arts/Science,Henan Normal University,Self Made,Pharmaceuticals,,
780,Samuel Tak Lee,3.7,84.0,Real estate,Hong Kong,Real Estate,Male,Hong Kong,Married,Master of Business Administration,Harvard Business School,no data,Real estate,,
781,"Robert ""Woody"" Johnson",3.7,76.0,"Johnson & Johnson, sports",United States,Sports,Male,United States,Married,no data,no data,no data,Johnson & Johnson, sports,
782,Remo Ruffini,3.7,61.0,Winter jackets,Italy,Fashion & Retail,Male,Italy,Married,no data,no data,Self Made,Winter jackets,,
783,Walter P.J. Droege,3.7,70.0,Investing,Germany,Finance & Investments,Male,Germany,Married,no data,no data,Self Made,Investing,,
784,Howard Schultz,3.7,70.0,Starbucks,United States,Food & Beverage,Male,United States,Married,Bachelor of Arts/Science,Northern Michigan University,Self Made,Starbucks,,
785,Rufino Vigil Gonzalez,3.7,75.0,Steel,Mexico,Metals & Mining,Male,Mexico,Married,Bachelor of Arts/Science,Universidad Iberoamericana,Self Made,Steel,,
786,Hong Jie,3.7,55.0,Paint,China,Manufacturing,Male,China,no data,no data,no data,Self Made,Paint,,
787,Margarita Louis-Dreyfus,3.7,61.0,Commodities,Switzerland,Food & Beverage,Female,Switzerland,Widowed,no data,no data,no data,Commodities,,
788,Hayes Barnard,3.7,51.0,Fintech,United States,Finance & Investments,Male,United States,Married,Bachelor of Business Administration,University of Missouri,Self Made,Fintech,,
789,Dongsheng Chen,3.7,65.0,Insurance,China,Finance & Investments,Male,China,Married,no data,no data,Self Made,Insurance,,
790,Richard Schulze,3.7,82.0,Best Buy,United States,Fashion & Retail,Male,United States,"Widowed, Remarried",Diploma,High School,Self Made,Best Buy,,
791,Xue Min,3.7,66.0,Healthcare,China,Healthcare,Male,China,no data,no data,no data,Self Made,Healthcare,,
792,Wim van der Leegte,3.7,75.0,Manufacturing,Netherlands,Manufacturing,Male,Netherlands,Married,no data,no data,no data,Manufacturing,,
793,Daniel Och,3.7,62.0,Hedge funds,United States,Finance & Investments,Male,United States,Married,Bachelor of Arts/Science,The Wharton School,Self Made,Hedge funds,,
794,Martha Ingram,3.7,87.0,"Book distribution, transportation",United States,Media & Entertainment,Female,United States,Widowed,Bachelor of Arts/Science,Vassar College,no data,Book distribution, transportation,
795,Zhang Hejun,3.7,71.0,Electronics,China,Manufacturing,Male,China,no data,no data,no data,Self Made,Electronics,,
796,Bob Gaglardi,3.7,82.0,Hotels,Canada,Real Estate,Male,Canada,Married,Bachelor of Engineering,Letourneau College,Self Made,Hotels,,
797,Elizabeth Uihlein,3.7,78.0,Packaging materials,United States,Manufacturing,Female,United States,Married,no data,no data,Self Made,Packaging materials,,
797,Richard Uihlein,3.7,77.0,Packaging materials,United States,Manufacturing,Male,United States,Married,Bachelor of Arts/Science,Stanford University,Self Made,Packaging materials,,
799,Prasert Prasarttong-Osoth,3.7,90.0,"hospitals, airline",Thailand,Healthcare,Male,Thailand,Married,no data,no data,Self Made,hospitals, airline,
800,Andre Koo Sr,3.7,56.0,Financial services,Taiwan,Finance & Investments,Male,Taiwan,Married,Master of Business Administration,Leonard N. Stern School of Business,no data,Financial services,,
801,Hilton Schlosberg,3.7,70.0,Energy drinks,United Kingdom,Food & Beverage,Male,United Kingdom,no data,no data,no data,Self Made,Energy drinks,,
802,Jerry Speyer,3.6,83.0,Real estate,United States,Real Estate,Male,United States,Married,Master of Business Administration,Columbia Business School,Self Made,Real estate,,
803,Masahiro Miki,3.6,68.0,shoes,Japan,Fashion & Retail,Male,Japan,Married,Bachelor of Arts/Science,Toho Gakuen tanki University,Self Made,shoes,,
804,Ajay Piramal,3.6,68.0,Pharmaceuticals,India,Healthcare,Male,India,Married,Bachelor of Arts/Science,University of Mumbai,no data,Pharmaceuticals,,
805,Mike Adenuga,3.6,70.0,"Telecom, oil",Nigeria,Diversified,Male,Nigeria,Married,Master of Business Administration,Pace University,Self Made,Telecom, oil,
806,Edwin Leong,3.6,71.0,Real estate,Hong Kong,Real Estate,Male,Hong Kong,Married,no data,no data,Self Made,Real estate,,
807,Cliff Obrecht,3.6,37.0,Software,Australia,Technology,Male,Australia,Married,Bachelor of Arts/Science,University of Western Australia,Self Made,Software,,
807,Melanie Perkins,3.6,36.0,Software,Australia,Technology,Female,Australia,Married,Drop Out,University of Western Australia,Self Made,Software,,
809,William Ackman,3.6,57.0,Hedge funds,United States,Finance & Investments,Male,United States,Married,Master of Business Administration,Harvard Business School,Self Made,Hedge funds,,
810,Josh Kushner,3.6,38.0,Venture capital  ,United States,Finance & Investments,Male,United States,Married,Bachelor of Arts/Science,Harvard,Self Made,Venture capital  ,,
811,Kuldip Singh Dhingra,3.6,75.0,Paints,India,Manufacturing,Male,India,Married,Bachelor of Science,Delhi University,Self Made,Paints,,
811,Gurbachan Singh Dhingra,3.6,73.0,Paints,India,Manufacturing,Male,India,Married,Bachelor of Arts/Science,Punjab University,Self Made,Paints,,
813,Acharya Balkrishna,3.6,51.0,Consumer goods,India,Food & Beverage,Male,India,Single,no data,no data,Self Made,Consumer goods,,
814,Beatriz Davila de Santo Domingo,3.6,84.0,Beer,Colombia,Food & Beverage,Female,Colombia,Widowed,no data,no data,no data,Beer,,
815,Maurizio Billi,3.6,65.0,Generic drugs,Brazil,Healthcare,Male,Brazil,Married,no data,no data,no data,Generic drugs,,
816,Xu Jinfu,3.6,59.0,Chemicals,China,Manufacturing,Male,China,no data,no data,no data,Self Made,Chemicals,,
817,Takao Yasuda,3.6,74.0,retail,Japan,Fashion & Retail,Male,Japan,Married,Bachelor of Arts/Science,Keio University,Self Made,retail,,
818,J.B. Pritzker,3.6,58.0,"Hotels, investments",United States,Finance & Investments,Male,United States,Married,Bachelor of Arts/Science,Duke University,no data,Hotels, investments,
819,Carl DeSantis,3.6,84.0,Energy drink,United States,Food & Beverage,Male,United States,no data,no data,no data,Self Made,Energy drink,,
820,Alan Howard,3.6,59.0,Hedge funds,United Kingdom,Finance & Investments,Male,United Kingdom,Married,Master of Science,Imperial College London,Self Made,Hedge funds,,
821,Tung Chee Chen,3.6,80.0,Shipping,Hong Kong,Logistics,Male,Hong Kong,Married,Master of Science,Massachusetts Institute of Technology,no data,Shipping,,
822,Ji Qi,3.6,56.0,"Hotels, motels ",China,Real Estate,Male,China,no data,Bachelor of Engineering,Shanghai Jiao Tong University,Self Made,Hotels, motels ,
823,Zeng Fangqin,3.6,57.0,Smartphone components,China,Technology,Female,China,no data,no data,no data,Self Made,Smartphone components,,
824,Stephen Mandel Jr,3.6,67.0,Hedge funds,United States,Finance & Investments,Male,United States,Married,Bachelor of Arts/Science,Dartmouth College,Self Made,Hedge funds,,
825,Hu Kaijun,3.6,61.0,Pharmaceuticals,China,Healthcare,Male,China,no data,no data,no data,Self Made,Pharmaceuticals,,
826,Yang Shaopeng,3.6,65.0,Shipping,China,Logistics,Male,China,no data,Master of Business Administration,Asia Macau International Open University,Self Made,Shipping,,
827,Mohamed Mansour,3.6,75.0,Diversified,Egypt,Diversified,Male,Egypt,Married,Master of Business Administration,Auburn University,Self Made,Diversified,,
828,Mary Alice Dorrance Malone,3.6,73.0,Campbell Soup,United States,Food & Beverage,Female,United States,Divorced,Bachelor of Arts/Science,University of Arizona,no data,Campbell Soup,,
829,Peter Kellogg,3.6,80.0,Investments,United States,Finance & Investments,Male,United States,Married,Bachelor of Arts/Science,Babson College,no data,Investments,,
830,Jim Coulter,3.6,63.0,Private equity,United States,Finance & Investments,Male,United States,Married,Bachelor of Arts/Science,Dartmouth College,Self Made,Private equity,,
831,Su Hua,3.6,41.0,Video streaming,China,Media & Entertainment,Male,China,no data,Bachelor of Science,Tsinghua University,Self Made,Video streaming,,
832,Dirk Rossmann,3.6,76.0,Drugstores,Germany,Fashion & Retail,Male,Germany,Married,no data,no data,Self Made,Drugstores,,
